word,CONTROL,AC15,AC15P,HYBRID_3_5,HYBRID_SEMANTIC,total
parenting,0,0,0,0,1,1
basis,1,0,0,0,0,1
negotiables,0,0,1,0,0,1
message,0,0,0,1,0,1
unusually,0,1,0,0,0,1
exist,0,0,1,0,0,1
projects,1,0,0,0,0,1
widely,1,0,0,0,0,1
feelings,0,0,1,0,0,1
reason,0,0,0,0,1,1
minimal,0,0,1,0,0,1
signals,1,0,0,0,0,1
emergencies,0,0,0,0,1,1
strengthens,0,1,0,0,0,1
social,0,0,0,1,0,1
updated,1,0,0,0,0,1
part,0,0,0,0,1,1
noise,0,0,1,0,0,1
reconstruct,0,1,0,0,0,1
rewrite,0,0,0,1,0,1
deletion,0,0,1,0,0,1
success,0,0,0,0,1,1
uncited,1,0,0,0,0,1
conversion,0,0,1,0,0,1
mappings,0,0,1,0,0,1
trapped,0,0,0,1,0,1
diversity,0,0,0,0,1,1
runbookitem,0,0,1,0,0,1
area,0,0,1,0,0,1
owes,0,0,1,0,0,1
regrets,1,0,0,0,0,1
honor,0,0,0,1,0,1
covenant,0,0,0,1,0,1
anti,0,0,0,1,0,1
too,0,0,1,0,0,1
kills,0,0,1,0,0,1
here,0,0,0,0,1,1
compromise,1,0,0,0,0,1
slowly,0,0,0,1,0,1
reasons,0,0,0,0,1,1
classic,0,0,1,0,0,1
head,0,0,1,0,0,1
projected,0,1,0,0,0,1
responsiveness,1,0,0,0,0,1
match,1,0,0,0,0,1
oct,0,1,0,0,0,1
helps,0,0,0,0,1,1
condition,0,1,0,0,0,1
release,0,1,0,0,0,1
dignity,0,0,0,1,0,1
pinned,1,0,0,0,0,1
anything,0,0,0,1,0,1
opts,0,0,0,1,0,1
thresholds,0,0,1,0,0,1
arbiter,0,0,0,0,1,1
responsible,0,0,0,1,0,1
commits,0,1,0,0,0,1
offshore,0,0,0,0,1,1
etc,0,0,0,1,0,1
eventually,0,0,1,0,0,1
breach,0,0,1,0,0,1
acl,0,0,0,1,0,1
reopening,0,0,1,0,0,1
overall,0,0,0,1,0,1
triggering,0,0,0,1,0,1
pros,0,0,0,1,0,1
tiered,0,0,0,0,1,1
due,0,0,0,0,1,1
shown,0,0,0,0,1,1
drop,1,0,0,0,0,1
occupancy,0,1,0,0,0,1
break,0,0,0,1,0,1
transportation,0,0,1,0,0,1
rushed,0,1,0,0,0,1
arrive,0,0,0,1,0,1
purchase,0,0,1,0,0,1
linked,0,0,1,0,0,1
defense,0,0,0,1,0,1
dominates,0,0,0,0,1,1
carve,1,0,0,0,0,1
initial,0,0,0,0,1,1
capital,0,0,1,0,0,1
harder,0,0,0,0,1,1
mirrored,0,1,0,0,0,1
dispatch,1,0,0,0,0,1
trusting,1,0,0,0,0,1
creep,0,1,0,0,0,1
joint,0,1,0,0,0,1
supersede,0,0,0,1,0,1
receipts,1,0,0,0,0,1
lot,0,0,0,0,1,1
experiment,0,0,1,0,0,1
debug,0,0,0,0,1,1
blind,1,0,0,0,0,1
watch,0,0,0,0,1,1
cite,0,0,0,1,0,1
freeze,0,0,0,1,0,1
forming,1,0,0,0,0,1
forth,0,0,0,0,1,1
downrank,0,0,1,0,0,1
